ID,BiGG ID,Enzyme,Reaction equation,Gene name
EX_thr-L(e),EX_thr-L(e),L-Threonine exchange,[e] : thr-L <==>,NA
EX_cys-L(e),EX_cys-L(e),L-Cysteine exchange,[e] : cys-L <==>,NA
EX_lys-L(e),EX_lys-L(e),L-Lysine exchange,[e] : lys-L <==>,NA
EX_val-L(e),EX_val-L(e),L-Valine exchange,[e] : val-L <==>,NA
EX_met-L(e),EX_met-L(e),L-Methionine exchange,[e] : met-L <==>,NA
EX_leu-L(e),EX_leu-L(e),L-Leucine exchange,[e] : leu-L <==>,NA
EX_ile-L(e),EX_ile-L(e),L-Isoleucine exchange,[e] : ile-L <==>,NA
EX_phe-L(e),EX_phe-L(e),L-Phenylalanine exchange,[e] : phe-L <==>,NA
EX_tyr-L(e),EX_tyr-L(e),L-Tyrosine exchange,[e] : tyr-L <==>,NA
EX_trp-L(e),EX_trp-L(e),L-Tryptophan exchange,[e] : trp-L <==>,NA
EX_his-L(e),EX_his-L(e),L-Histidine exchange,[e] : his-L <==>,NA
COA,1acetylco_c=1coa_c',1acetylco_c=1coa_c',,NA
GLUPRT,GLUPRT,glutamine phosphoribosyldiphosphate amidotransferase,[c] : gln-L + h2o + prpp --> glu-L + ppi + pram,purF
PRAGSr,PRAGSr,phosphoribosylglycinamide synthase,[c] : atp + gly + pram <==> adp + gar + h + pi,purD
GARFT,GARFT,phosphoribosylglycinamide formyltransferase,[c] : 10fthf + gar <==> fgam + h + thf,purN
PRFGS,PRFGS,phosphoribosylformylglycinamidine synthase,[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi,purL
PRAIS,PRAIS,phosphoribosylaminoimidazole synthase,[c] : atp + fpram --> adp + air + (2) h + pi,purM
AIRC2,AIRC2,phosphoribosylaminoimidazole carboxylase,[c] : air + atp + hco3 --> 5caiz + adp + h + pi,purK
AIRC3,AIRC3,phosphoribosylaminoimidazole carboxylase (mutase rxn),[c] : 5aizc <==> 5caiz,purE
PRASCS,PRASCS,phosphoribosylaminoimidazolesuccinocarboxamide synthase,[c] : 5aizc + asp-L + atp --> 25aics + adp + h + pi,NA
ADSL2r,ADSL2r,adenylosuccinate lyase,[c] : 25aics <==> aicar + fum,purB
AICART,AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,[c] : 10fthf + aicar <==> fprica + thf,purH
IMPC,IMPC,IMP cyclohydrolase,[c] : h2o + imp <==> fprica,purH
ADSS,ADSS,adenylosuccinate synthase,[c] : asp-L + gtp + imp --> dcamp + gdp + (2) h + pi,purA
ADSL1r,ADSL1r,adenylsuccinate lyase,[c] : dcamp <==> amp + fum,purB
THRD_L,THRD_L,L-threonine deaminase,[c] : thr-L --> 2obut + nh4,ilvA or tdcB
ACHBS,ACHBS,2-aceto-2-hydroxybutanoate synthase,[c] : 2obut + h + pyr --> 2ahbut + co2,(ilvN and ilvB) or (ilvI and ilvH)
KARA2,KARA2,ketol-acid reductoisomerase (2-Acetolactate),[c] : 2ahbut + h + nadph <==> 23dhmp + nadp,ilvC
ACCOAC,ACCOAC,acetyl-CoA carboxylase,[c] : accoa + atp + hco3 --> adp + h + malcoa + pi,accD and accB and accC and accA
MCOATA,MCOATA,Malonyl-CoA-ACP transacylase,[c] : ACP + malcoa <==> coa + malACP,acpP and fabD
MACPD,MACPD,Malonyl-ACP decarboxylase,[c] : h + malACP --> acACP + co2,fabB
ACOATA,ACOATA,Acetyl-CoA ACP transacylase,[c] : ACP + accoa <==> acACP + coa,acpP and fabH
KAS15,KAS15,beta-ketoacyl-ACP synthase (2),[c] : accoa + h + malACP --> actACP + co2 + coa,fabH
3HAD40,3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),[c] : 3haACP --> but2eACP + h2o,fabA or fabZ
3HAD60,3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),[c] : 3hhexACP --> h2o + thex2eACP,fabA or fabZ
3HAD80,3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),[c] : 3hoctACP --> h2o + toct2eACP,fabA or fabZ
ACOAD3f,ACOAD3f,acyl-CoA dehydrogenase (octanoyl-CoA),[c] : fad + occoa <==> fadh2 + oc2coa,fadE
ECOAH3,ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),[c] : 3hocoa <==> h2o + oc2coa,fadJ or fadB
HACD3i,HACD3i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA),[c] : 3hocoa + nad --> 3oocoa + h + nadh,NA
KAT3,KAT3,3-ketoacyl-CoA thiolase,[c] : 3oocoa + coa --> accoa + hxcoa,NA
ACOAD2f,ACOAD2f,acyl-CoA dehydrogenase (hexanoyl-CoA),[c] : fad + hxcoa <==> fadh2 + hx2coa,fadE
HEXt2rpp,HEXt2rpp,"hexanoate transport via proton symport, reversible (periplasm)",h[p] + hxa[p] <==> h[c] + hxa[c],atoE
HXCT,HXCT,Acetyl-CoA:hexanoate-CoA transferase,[c] : accoa + hxa --> ac + hxcoa,atoA and atoD
ECOAH2,ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),[c] : 3hhcoa <==> h2o + hx2coa,fadJ or fadB
HACD2i,HACD2i,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),[c] : 3hhcoa + nad --> 3ohcoa + h + nadh,NA
KAT2,KAT2,3-ketoacyl-CoA thiolase,[c] : 3ohcoa + coa --> accoa + btcoa,NA
BUTCT,BUTCT,Acetyl-CoA:butyrate-CoA transferase,[c] : accoa + but --> ac + btcoa,atoA and atoD
BUTt2rpp,BUTt2rpp,"Butyrate transport via proton symport, reversible (periplasm)",but[p] + h[p] <==> but[c] + h[c],atoE
BUTtex,BUTtex,Butyrate transport via diffusion (extracellular to periplasm),but[e] <==> but[p],phoE or ompF or ompN or ompC
EX_but(e),EX_but(e),Butyrate (n-C4:0) exchange,[e] : but <==>,NA
ACOAD1f,ACOAD1f,acyl-CoA dehydrogenase (butanoyl-CoA),[c] : btcoa + fad <==> b2coa + fadh2,fadE
ECOAH1,ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),[c] : 3hbcoa <==> b2coa + h2o,fadJ or fadB
HACD1i,HACD1i,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),[c] : 3hbcoa + nad --> aacoa + h + nadh,NA
KAT1,KAT1,3-ketoacyl-CoA thiolase,[c] : aacoa + coa --> (2) accoa,NA
FADRx,FADRx,FAD reductase,[c] : fad + h + nadh --> fadh2 + nad,fre
FADRx2,FADRx2,FAD reductase,[c] : fad + h + nadph --> fadh2 + nadp,cysJ and cysI
3OAS100,3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),[c] : h + malACP + ocACP --> 3odecACP + ACP + co2,fabB or fabF
3OAS120,3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),[c] : dcaACP + h + malACP --> 3oddecACP + ACP + co2,fabF or fabB
3OAS121,3OAS121,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1),[c] : cdec3eACP + h + malACP --> 3ocddec5eACP + ACP + co2,fabB
3OAS140,3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),[c] : ddcaACP + h + malACP --> 3omrsACP + ACP + co2,fabB or fabF
3OAS141,3OAS141,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1),[c] : cddec5eACP + h + malACP --> 3ocmrs7eACP + ACP + co2,fabB
3OAS160,3OAS160,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0),[c] : h + malACP + myrsACP --> 3opalmACP + ACP + co2,fabB or fabF
3OAS161,3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),[c] : h + malACP + tdeACP --> 3ocpalm9eACP + ACP + co2,fabB
3OAS180,3OAS180,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0),[c] : h + malACP + palmACP --> 3ooctdACP + ACP + co2,fabF or fabB
3OAS60,3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),[c] : butACP + h + malACP --> 3ohexACP + ACP + co2,fabF or fabB
3OAS80,3OAS80,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0),[c] : h + hexACP + malACP --> 3ooctACP + ACP + co2,fabB or fabF
3OAR100,3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),[c] : 3odecACP + h + nadph <==> 3hdecACP + nadp,fabG
3OAR120,3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),[c] : 3oddecACP + h + nadph <==> 3hddecACP + nadp,fabG
3OAR121,3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),[c] : 3ocddec5eACP + h + nadph --> 3hcddec5eACP + nadp,fabG
3OAR140,3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),[c] : 3omrsACP + h + nadph <==> 3hmrsACP + nadp,fabG
3OAR141,3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),[c] : 3ocmrs7eACP + h + nadph --> 3hcmrs7eACP + nadp,fabG
3OAR160,3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),[c] : 3opalmACP + h + nadph <==> 3hpalmACP + nadp,fabG
3OAR161,3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),[c] : 3ocpalm9eACP + h + nadph --> 3hcpalm9eACP + nadp,fabG
3OAR180,3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),[c] : 3ooctdACP + h + nadph <==> 3hoctaACP + nadp,fabG
3OAR40,3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),[c] : actACP + h + nadph <==> 3haACP + nadp,fabG
3OAR60,3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),[c] : 3ohexACP + h + nadph <==> 3hhexACP + nadp,fabG
3OAR80,3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),[c] : 3ooctACP + h + nadph <==> 3hoctACP + nadp,fabG
EAR100x,EAR100x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0),[c] : h + nadh + tdec2eACP --> dcaACP + nad,fabI
EAR100y,EAR100y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),[c] : h + nadph + tdec2eACP --> dcaACP + nadp,fabI
EAR120x,EAR120x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:0),[c] : h + nadh + tddec2eACP --> ddcaACP + nad,fabI
EAR120y,EAR120y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),[c] : h + nadph + tddec2eACP --> ddcaACP + nadp,fabI
EAR121x,EAR121x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C12:1),[c] : h + nadh + t3c5ddeceACP --> cddec5eACP + nad,fabI
EAR121y,EAR121y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),[c] : h + nadph + t3c5ddeceACP --> cddec5eACP + nadp,fabI
EAR140x,EAR140x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:0),[c] : h + nadh + tmrs2eACP --> myrsACP + nad,fabI
EAR140y,EAR140y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:0),[c] : h + nadph + tmrs2eACP --> myrsACP + nadp,fabI
EAR141x,EAR141x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C14:1),[c] : h + nadh + t3c7mrseACP --> nad + tdeACP,fabI
EAR141y,EAR141y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C14:1),[c] : h + nadph + t3c7mrseACP --> nadp + tdeACP,fabI
EAR160x,EAR160x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:0),[c] : h + nadh + tpalm2eACP --> nad + palmACP,fabI
EAR160y,EAR160y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:0),[c] : h + nadph + tpalm2eACP --> nadp + palmACP,fabI
EAR161x,EAR161x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C16:1),[c] : h + nadh + t3c9palmeACP --> hdeACP + nad,fabI
EAR161y,EAR161y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C16:1),[c] : h + nadph + t3c9palmeACP --> hdeACP + nadp,fabI
EAR180x,EAR180x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:0),[c] : h + nadh + toctd2eACP --> nad + ocdcaACP,fabI
EAR180y,EAR180y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:0),[c] : h + nadph + toctd2eACP --> nadp + ocdcaACP,fabI
EAR181x,EAR181x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C18:1),[c] : h + nadh + t3c11vaceACP --> nad + octeACP,fabI
EAR181y,EAR181y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C18:1),[c] : h + nadph + t3c11vaceACP --> nadp + octeACP,fabI
EAR40x,EAR40x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0),[c] : but2eACP + h + nadh --> butACP + nad,fabI
EAR40y,EAR40y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0),[c] : but2eACP + h + nadph --> butACP + nadp,fabI
EAR60x,EAR60x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0),[c] : h + nadh + thex2eACP --> hexACP + nad,fabI
EAR60y,EAR60y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0),[c] : h + nadph + thex2eACP --> hexACP + nadp,fabI
EAR80x,EAR80x,enoyl-[acyl-carrier-protein] reductase (NADH) (n-C8:0),[c] : h + nadh + toct2eACP --> nad + ocACP,fabI
EAR80y,EAR80y,enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C8:0),[c] : h + nadph + toct2eACP --> nadp + ocACP,fabI
FA80ACPHi,FA80ACPHi,fatty-acyl-ACP hydrolase,[c] : h2o + ocACP --> ACP + h + octa,acpH
FACOAE100,FACOAE100,fatty-acid-CoA thioesterase (decanoate),[c] : dcacoa + h2o --> coa + dca + h,tesB
FACOAE120,FACOAE120,fatty-acid-CoA thioesterase (dodecanoate),[c] : ddcacoa + h2o --> coa + ddca + h,tesB
FACOAE140,FACOAE140,fatty-acid-CoA thioesterase (tetradecanoate),[c] : h2o + tdcoa --> coa + h + ttdca,tesB
FACOAE141,FACOAE141,fatty-acid-CoA thioesterase (tetradecenoate),[c] : h2o + tdecoa --> coa + h + ttdcea,tesB
FACOAE160,FACOAE160,fatty-acid-CoA thioesterase (hexadecanoate),[c] : h2o + pmtcoa --> coa + h + hdca,tesB
FACOAE161,FACOAE161,fatty-acid-CoA thioesterase (hexadecenoate),[c] : h2o + hdcoa --> coa + h + hdcea,tesB
FACOAE180,FACOAE180,fatty-acid-CoA thioesterase (octadecanoate),[c] : h2o + stcoa --> coa + h + ocdca,tesB
FACOAE181,FACOAE181,fatty-acid-CoA thioesterase (octadecenoate),[c] : h2o + odecoa --> coa + h + ocdcea,tesB
FACOAE60,FACOAE60,fatty-acid-CoA thioesterase (hexanoate),[c] : h2o + hxcoa --> coa + h + hxa,tesB
FACOAE80,FACOAE80,fatty-acid-CoA thioesterase (octanoate),[c] : h2o + occoa --> coa + h + octa,tesB
FA100ACPHi,FA100ACPHi,fatty-acyl-ACP hydrolase,[c] : dcaACP + h2o --> ACP + dca + h,acpH
FA120ACPHi,FA120ACPHi,fatty-acyl-ACP hydrolase,[c] : ddcaACP + h2o --> ACP + ddca + h,acpH
FA140ACPHi,FA140ACPHi,fatty-acyl-ACP hydrolase,[c] : h2o + myrsACP --> ACP + h + ttdca,acpH
FA141ACPHi,FA141ACPHi,fatty-acyl-ACP hydrolase,[c] : h2o + tdeACP --> ACP + h + ttdcea,acpH
FA160ACPHi,FA160ACPHi,fatty-acyl-ACP hydrolase,[c] : h2o + palmACP --> ACP + h + hdca,acpH
FA161ACPHi,FA161ACPHi,fatty-acyl-ACP hydrolase,[c] : h2o + hdeACP --> ACP + h + hdcea,acpH
KAT4,KAT4,3-ketoacyl-CoA thiolase,[c] : 3odcoa + coa --> accoa + occoa,NA
KAT5,KAT5,3-ketoacyl-CoA thiolase,[c] : 3oddcoa + coa --> accoa + dcacoa,NA
KAT6,KAT6,3-ketoacyl-CoA thiolase,[c] : 3otdcoa + coa --> accoa + ddcacoa,NA
KAT7,KAT7,3-ketoacyl-CoA thiolase,[c] : 3ohdcoa + coa --> accoa + tdcoa,NA
KAT8,KAT8,3-ketoacyl-CoA thiolase,[c] : 3oodcoa + coa --> accoa + pmtcoa,NA
HACD4i,HACD4i,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),[c] : 3hdcoa + nad --> 3odcoa + h + nadh,NA
HACD5i,HACD5i,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),[c] : 3hddcoa + nad --> 3oddcoa + h + nadh,NA
HACD6i,HACD6i,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),[c] : 3htdcoa + nad --> 3otdcoa + h + nadh,NA
HACD7i,HACD7i,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),[c] : 3hhdcoa + nad --> 3ohdcoa + h + nadh,NA
HACD8i,HACD8i,3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA),[c] : 3hodcoa + nad --> 3oodcoa + h + nadh,NA
ECOAH4,ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),[c] : 3hdcoa <==> dc2coa + h2o,fadJ or fadB
ECOAH5,ECOAH5,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),[c] : 3hddcoa <==> dd2coa + h2o,fadJ or fadB
ECOAH6,ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),[c] : 3htdcoa <==> h2o + td2coa,fadJ or fadB
ECOAH7,ECOAH7,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA),[c] : 3hhdcoa <==> h2o + hdd2coa,fadJ or fadB
ECOAH8,ECOAH8,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),[c] : 3hodcoa <==> h2o + od2coa,fadJ or fadB
ACOAD4f,ACOAD4f,acyl-CoA dehydrogenase (decanoyl-CoA),[c] : dcacoa + fad <==> dc2coa + fadh2,fadE
ACOAD5f,ACOAD5f,acyl-CoA dehydrogenase (dodecanoyl-CoA),[c] : ddcacoa + fad <==> dd2coa + fadh2,fadE
ACOAD6f,ACOAD6f,acyl-CoA dehydrogenase (tetradecanoyl-CoA),[c] : fad + tdcoa <==> fadh2 + td2coa,fadE
ACOAD7f,ACOAD7f,acyl-CoA dehydrogenase (hexadecanoyl-CoA),[c] : fad + pmtcoa <==> fadh2 + hdd2coa,fadE
ACOAD8f,ACOAD8f,acyl-CoA dehydrogenase (octadecanoyl-CoA),[c] : fad + stcoa <==> fadh2 + od2coa,fadE
EX_octa(e),EX_octa(e),octanoate (n-C8:0) exchange,[e] : octa <==>,NA
OCTAtex,OCTAtex,Octanoate transport via diffusion (extracellular to periplasm),octa[e] + h[e]<==> octa[c] + h[c],phoE or ompF or ompN or ompC
HXAtex,HXAtex,Hexanoate transport via diffusion (extracellular to periplasm),hxa[e] + h[e]<==>hxa[c] + h[c],phoE or ompF or ompN or ompC
EX_hxa(e),EX_hxa(e),Hexanoate (n-C6:0) exchange,[e] : hxa <==>,NA
EX_dca(e),EX_dca(e),Decanoate (n-C10:0) exchange,[e] : dca <==>,NA
DCAtex,DCAtex,Decanoate transport via diffusion (extracellular to periplasm),dca[e] + h[e]<==> dca[c] + h[c],phoE or ompF or ompN or ompC
EX_ddca(e),EX_ddca(e),Dodecanoate (n-C12:0) exchange,[e] : ddca <==>,NA
DDCAtex,DDCAtex,Dodecanoate transport via diffusion (extracellular to periplasm),ddca[e] + h[e]<==> ddca[c] + h[c],NA
EX_hdca(e),EX_hdca(e),Hexadecanoate (n-C16:0) exchange,[e] : hdca <==>,NA
HDCAtex,HDCAtex,Hexadecanoate transport via diffusion (extracellular to periplasm),hdca[e] + h[e]<==>hdca[c] + h[c],NA
EX_ocdca(e),EX_ocdca(e),octadecanoate (n-C18:0) exchange,[e] : ocdca <==>,NA
OCDCAtex,OCDCAtex,octadecanoate transport via diffusion (extracellular to periplasm),ocdca[e] + h[e]<==> ocdca[c] + h[c],NA
EX_ttdca(e),EX_ttdca(e),tetradecanoate (n-C14:0) exchange,[e] : ttdca <==>,NA
TTDCAtex,TTDCAtex,tetradecanoate transport via diffusion (extracellular to periplasm),ttdca[e] + h[e]<==> ttdca[c] + h[c],NA
3HAD100,3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),[c] : 3hdecACP --> h2o + tdec2eACP,fabA or fabZ
3HAD120,3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),[c] : 3hddecACP --> h2o + tddec2eACP,fabZ or fabA
3HAD121,3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),[c] : 3hcddec5eACP --> h2o + t3c5ddeceACP,fabA or fabZ
3HAD140,3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),[c] : 3hmrsACP --> h2o + tmrs2eACP,fabA or fabZ
3HAD141,3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),[c] : 3hcmrs7eACP --> h2o + t3c7mrseACP,fabA or fabZ
3HAD160,3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),[c] : 3hpalmACP --> h2o + tpalm2eACP,fabA or fabZ
3HAD161,3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),[c] : 3hcpalm9eACP --> h2o + t3c9palmeACP,fabA or fabZ
3HAD180,3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),[c] : 3hoctaACP --> h2o + toctd2eACP,fabA or fabZ
OCTEACP,NA,h2o + ocdcaACP_c --> octeACP_c + h + ACP,,NA
EX_OCTEACP,NA,-->octeACP_c,,NA
T2DECAI,T2DECAI,trans-2-decenoyl-ACP isomerase,[c] : tdec2eACP <==> cdec3eACP,fabA
TDECOAI,TDECOAI,tetradecenoyl-coa cis-trans isomerization,[c] : tdecoa --> td2coa,NA
HDCOAI,HDCOAI,hexadecenoyl-coa cis-trans isomerization,[c] : hdcoa --> hdd2coa,NA
ODECOAI,ODECOAI,Octadecenoyl-coa cis-trans isomerization,[c] : odecoa --> od2coa,NA
EX_ocdcea(e),EX_ocdcea(e),octadecenoate (n-C18:1) exchange,[e] : ocdcea <==>,NA
PROabcpp,PROabcpp,L-proline transport via ABC system (periplasm),atp[c] + h2o[c] + pro-L[p] --> adp[c] + h[c] + pi[c] + pro-L[c],proV and proW and proX
ARGt3pp and ARGtex,ARGt3pp and ARGtex,L-arginine transport out via proton antiport (cytoplasm to periplasm),arg-L[c] + h[p] --> arg-L[p] + h[c],NA
ASPt2_2pp,ASPt2_2pp,Aspartate transport via proton symport (2 H) (periplasm),asp-L[p] + (2) h[p] --> asp-L[c] + (2) h[c],dctA
ASPt2_3pp,ASPt2_3pp,L-asparate transport via proton symport (3 H) (periplasm),asp-L[p] + (3) h[p] --> asp-L[c] + (3) h[c],dcuA or dcuB
ASPt2pp and ASPtex,ASPt2pp and ASPtex,L-aspartate transport in via proton symport (periplasm),asp-L[p] + h[p] --> asp-L[c] + h[c],NA
ASNt2rpp and ASNtex and EX_asn-L(e),ASNt2rpp and ASNtex and EX_asn-L(e),L-asparagine reversible transport via proton symport (periplasm),asn-L[p] + h[p] <==> asn-L[c] + h[c],NA
SERt2rpp and SERtex,SERt2rpp and SERtex,L-serine reversible transport via proton symport (periplasm),h[p] + ser-L[p] <==> h[c] + ser-L[c],NA
GLYt2pp and GLYtex,GLYt2pp and GLYtex,glycine transport in via proton symport (periplasm),gly[p] + h[p] --> gly[c] + h[c],NA
CYSabcpp and CYStex and CYStpp,CYSabcpp and CYStex and CYStpp,L-cysteine uptake via ABC system (periplasm),atp[c] + cys-L[p] + h2o[c] --> adp[c] + cys-L[c] + h[c] + pi[c],NA
LYSt3pp and LYStex,LYSt3pp and LYStex,L-lysine transport out via proton antiport (cytoplasm to periplasm),h[p] + lys-L[c] --> h[c] + lys-L[p],NA
METabcpp and METtex,METabcpp and METtex,L-methionine transport via ABC system (periplasm),atp[c] + h2o[c] + met-L[p] --> adp[c] + h[c] + met-L[c] + pi[c],NA
THRabcpp,THRabcpp,L-threonine transport via ABC system (periplasm),atp[c] + h2o[c] + thr-L[p] --> adp[c] + h[c] + pi[c] + thr-L[c],livM and livG and livJ and livH and livF
THRt2rpp and THRtex,THRt2rpp and THRtex,L-threonine reversible transport via proton symport (periplasm),h[p] + thr-L[p] <==> h[c] + thr-L[c],NA
VALt2rpp and VALtex,VALt2rpp and VALtex,L-valine reversible transport via proton symport (periplasm),h[p] + val-L[p] <==> h[c] + val-L[c],NA
ILEabcpp,ILEabcpp,L-isoleucine transport via ABC system (periplasm),atp[c] + h2o[c] + ile-L[p] --> adp[c] + h[c] + ile-L[c] + pi[c],livM and livG and livJ and livH and livF
ILEt2rpp and ILEtex,ILEt2rpp and ILEtex,L-isoleucine reversible transport via proton symport (periplasm),h[p] + ile-L[p] <==> h[c] + ile-L[c],NA
LEUt2rpp and LEUtex,LEUt2rpp and LEUtex,L-leucine reversible transport via proton symport (periplasm),h[p] + leu-L[p] <==> h[c] + leu-L[c],NA
TRPt2rpp and TRPtex,TRPt2rpp and TRPtex,L-tryptophan reversible transport via proton symport (periplasm),h[p] + trp-L[p] <==> h[c] + trp-L[c],NA
TYRt2rpp and TYRtex,TYRt2rpp and TYRtex,L-tyrosine reversible transport via proton symport (periplasm),h[p] + tyr-L[p] <==> h[c] + tyr-L[c],NA
PHEt2rpp and PHEtex,PHEt2rpp and PHEtex,L-phenylalanine reversible transport via proton symport (periplasm),h[p] + phe-L[p] <==> h[c] + phe-L[c],NA
HISt2rpp and HIStex,HISt2rpp and HIStex,L-histidine reversible transport via proton symport (periplasm),h[p] + his-L[p] <==> h[c] + his-L[c],NA
ALAt2pp and ALAtex,ALAt2pp and ALAtex,L-alanine transport in via proton symport (periplasm),ala-L[p] + h[p] --> ala-L[c] + h[c],NA
SERD_L,SERD_L,L-serine deaminase,[c] : ser-L --> nh4 + pyr,tdcG or sdaA or sdaB or tnaA or tdcB
CYSDS,CYSDS,Cysteine Desulfhydrase,[c] : cys-L + h2o --> h2s + nh4 + pyr,metC or tnaA
ALAR,ALAR,alanine racemase,[c] : ala-L <==> ala-D,dadX or alr
DAAD,DAAD,D-Amino acid dehydrogenase,[c] : ala-D + fad + h2o --> fadh2 + nh4 + pyr,dadA
AST,AST,Arginine succinyltransferase,[c] : arg-L + succoa --> coa + h + sucarg,astA
SADH,SADH,Succinylarginine dihydrolase,[c] : (2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn,astB
SOTA,SOTA,Succinylornithine transaminase,[c] : akg + sucorn --> glu-L + sucgsa,astC
SGSAD,SGSAD,Succinylglutamic semialdehyde dehydrogenase,[c] : h2o + nad + --> (2) h + nadh + sucglu,astD
SGDS,SGDS,Succinylglutamate desuccinylase,[c] : h2o + sucglu --> glu-L + succ,astE
ARGDC,ARGDC,arginine decarboxylase,[c] : arg-L + h --> agm + co2,adiA
AGMT,AGMT,agmatinase,[c] : agm + h2o --> ptrc + urea,speB
GGPTRCS,GGPTRCS,gamma glutamyl putrescine synthase,[c] : atp + glu-L + ptrc --> adp + ggptrc + h + pi,puuA
